country,total_cases,confirmed,new_cases,deaths,new_deaths,recovered,active,active_cases,critical,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
North America,41399942,41399942,4438,929147,91,34723708,5747087,5747087,12890,0,0,0,0,0
Asia,59070904,59070904,35786,843227,281,55754676,2473001,2473001,29846,0,0,0,0,0
South America,34595616,34595616,440,1054023,15,32011876,1529717,1529717,27086,0,0,0,0,0
Europe,49825375,49825375,25706,1120564,732,46184975,2519836,2519836,6281,0,0,0,0,0
Africa,6284603,6284603,0,158329,0,5463367,662907,662907,4430,0,0,0,0,0
Oceania,89377,89377,119,1369,0,72492,15516,15516,65,0,0,0,0,0
0,721,721,0,15,0,706,0,0,0,0,0,0,0,0
World,191266538,191266538,66489,4106674,1119,174211800,12948064,12948064,80598,0,0,24538,526.8,0
USA,34963907,34963907,0,624746,0,29376590,4962571,4962571,5886,516487579,0,104987,1876,333029623
India,31144229,31144229,634,414141,0,30308456,421632,421632,8944,445422256,0,22339,297,1394160942
Brazil,19376574,19376574,0,542262,0,18023512,810800,810800,8318,54204686,0,90487,2532,214136904
Russia,5982766,5982766,24633,149138,719,5359995,473633,473633,2300,159500000,0,40978,1021,145999879
France,5867730,5867730,0,111472,0,5659058,97200,97200,891,98645452,0,89687,1704,65424454
Turkey,5529719,5529719,0,50554,0,5386587,92578,92578,543,64875141,0,64838,593,85285789
UK,5433939,5433939,0,128708,0,4396950,908281,908281,551,230446661,0,79608,1886,68258461
Argentina,4756378,4756378,0,101549,0,4394695,260134,260134,4783,18256320,0,104241,2226,45628566
Colombia,4639466,4639466,0,116307,0,4389277,133882,133882,8155,21612085,0,90177,2261,51448668
Italy,4287458,4287458,0,127867,0,4113478,46113,46113,156,74792563,0,71021,2118,60368851
Spain,4100222,4100222,0,81096,0,3660683,358443,358443,872,54183930,0,87661,1734,46773710
Germany,3752219,3752219,0,91896,0,3640100,20223,20223,370,65845568,0,44635,1093,84063861
Iran,3523263,3523263,0,87161,0,3135060,301042,301042,4306,24892912,0,41395,1024,85113916
Poland,2881491,2881491,67,75215,0,2653034,153242,153242,62,18138390,0,76223,1990,37803266
Indonesia,2877476,2877476,0,73582,0,2261658,542236,542236,0,23346777,0,10405,266,276540989
Mexico,2659137,2659137,4438,236331,91,2086657,336149,336149,4798,7950230,0,20401,1813,130345957
South Africa,2295095,2295095,0,66859,0,2050164,178072,178072,546,14243586,0,38195,1113,60088416
Ukraine,2244677,2244677,182,52731,5,2181385,10561,10561,177,11161068,0,51651,1213,43458781
Peru,2093754,2093754,0,195146,0,0,0,0,2078,15011901,0,62592,5834,33450635
Netherlands,1798570,1798570,0,17776,0,1659820,120974,120974,83,15010077,0,104723,1035,17174494
Czechia,1671145,1671145,116,30338,0,1638053,2754,2754,6,31600829,0,155749,2827,10729745
Chile,1599879,1599879,0,34514,0,1551119,14246,14246,2025,18002227,0,82949,1789,19287463
